id,text,label
1,法規名稱：大量解僱勞工時禁止事業單位代表人及實際負責人出國處理辦法,終止與解僱
2,修正日期：民國 110 年 06 月 08 日,
3,第 1 條,
4,本辦法依大量解僱勞工保護法（以下簡稱本法）第十二條第三項規定訂定之。,
5,第 2 條,
6,1   依本辦法禁止出國之事業單位代表人如下：,其他
7,一、股份有限公司之董事長。,
8,二、有限公司為章程特設之董事長；未設有董事長者，為執行業務之董事。,
9,三、無限公司及兩合公司之執行業務股東；未設執行業務股東者為代表公司之股東。,
10,四、合夥者為執行業務之合夥人。,
11,五、獨資者為出資人或其法定代理人。,
12,六、其他法人團體者為其代表人。,其他
13,七、非法人團體者為其代表人或管理人。,其他
14,2   前項事業單位代表人以公司登記證明文件、商業登記證明文件、法院或主管機關備查文書所記載,其他
15,之人為準。,
16,3   事業單位經主管機關查證另有實際負責人屬實者，亦同。,
17,第 3 條,
18,1   事業單位於大量解僱勞工而積欠勞工退休金、資遣費或工資達本法第十二條第一項所定之標準，,終止與解僱
19,經主管機關限期令其給付，屆期仍未給付者，主管機關應報請中央主管機關處理。,
20,2   主管機關限期給付之期間，最長不得超過三十日。,
21,第 4 條,
22,主管機關依前條第一項規定，報請中央主管機關處理時，應載明下列事項：,
23,一、代表人及實際負責人之姓名、性別、年齡、職業、出生年月日及住所或居所（外國住所或居,其他
24,所）、戶籍地址及國民身分證統一編號。,
25,二、代表人及實際負責人為外國人者，其外文姓名、性別、出生年月日、國籍、護照號碼。,其他
26,三、符合本法第十二條第一項各款之情事。,
27,第 5 條,
28,1   中央主管機關為審核禁止事業單位代表人及實際負責人出國案件，應成立審查會，置委員十三,其他
29,人，其中一人為召集人，由中央主管機關指派人員兼任之；其餘委員，由中央主管機關就下列人,
30,員派（聘）兼之：,
31,一、中央主管機關代表二人。,
32,二、內政部代表一人。,
33,三、外交部代表一人。,
34,四、法務部代表一人。,
35,五、財政部代表一人。,
36,六、經濟部代表一人。,
37,七、專家學者五人。,
38,2   前項委員，任一性別比例不得少於三分之一。,
39,第 6 條,
40,委員任期二年，期滿得續聘之。但代表機關出任者，應隨其本職進退。,
41,第 7 條,
42,委員為無給職。但專家學者得依規定支領出席費。,
43,第 8 條,
44,審查會置執行秘書一人，由中央主管機關指派現職人員兼任之，承召集人之命，執行委員會決議,
